Date,ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2013-11-07,SPX,0.02672000043094158,0.02672000043094158,0.02672000043094158,0.02672000043094158,180000.0,0.0,0.0,
2017-11-01,SPX,0.03999999910593033,0.03999999910593033,0.03500000014901161,0.03500000014901161,97100.0,0.0,0.0,
2003-11-18,LHX,12.4792746940962,12.560527862301539,12.408176634092225,12.448803901672363,628493.0,0.0,0.0,
1978-03-22,RTX,0.43736837413547364,0.438887141280133,0.43433117123763304,0.4358496069908142,432208.0,0.0,0.0,
1977-04-06,RTX,0.4011222198775869,0.4025649111322936,0.39823652250757663,0.3996792137622833,780517.0,0.0,0.0,
1989-10-19,GD,2.4459992112222726,2.4459992112222726,2.434906244277954,2.434906244277954,220800.0,0.0,0.0,
1978-08-28,BA,1.7389776418910454,1.7420938161825632,1.6859978039884997,1.7046966552734375,2247750.0,0.0,0.0,
2011-03-18,BA,55.60006518976562,55.897308031876406,55.16625379685969,55.511695861816406,5061200.0,0.0,0.0,
1977-03-25,GD,0.41218596351591474,0.41397808323713464,0.4059135615825653,0.4059135615825653,320000.0,0.0,0.0,
2002-06-25,GD,35.573047386688415,35.7105750423265,34.214528326523,34.593570709228516,7037400.0,0.0,0.0,
1980-08-18,BA,2.1696656602309004,2.228107798062803,2.1404446853674224,2.2061922550201416,2502225.0,0.0,0.0,
1987-05-05,RTX,1.6811178342736437,1.7121671944448993,1.6811178342736437,1.6988600492477417,7065330.0,0.0,0.0,
2017-01-12,HII,179.66958265943725,180.5040850293191,176.67461587870187,177.1660614013672,547400.0,0.0,0.0,
2017-02-03,LMT,224.9801465638325,228.35479828809449,223.93836732040714,226.57398986816406,1803700.0,0.0,0.0,
2003-03-04,LMT,27.83418582562796,28.235377309149534,27.29926307465757,28.010467529296875,2535100.0,0.0,0.0,
2012-03-20,LHX,35.99555868237639,35.99555868237639,35.58763076358894,35.88949966430664,457400.0,0.0,0.0,
2000-05-12,GE,27.09755635416896,28.064136825786417,27.030895048348555,27.864152908325195,11142352.0,0.0,0.0,
2019-10-24,LMT,357.015217503055,360.5494366091754,355.3340577939782,357.9512939453125,1126900.0,0.0,0.0,
2018-02-14,RTX,72.25147774845401,73.30362392535518,71.65602830277585,73.24581146240234,11043073.0,0.0,0.0,
2018-04-26,LMT,303.111784394415,307.5757808551508,297.72007319939314,303.47918701171875,1847500.0,0.0,0.0,
1999-08-06,GD,20.900273857694685,21.18108367919922,20.880216013301503,21.18108367919922,1471800.0,0.0,0.0,
2020-12-10,GE,11.061658464609508,11.460995937228914,11.041692067026355,11.301260948181152,95671600.0,0.0,0.0,
1993-03-05,RTX,2.0217964439315073,2.0381890353644523,2.0054033225428065,2.016331672668457,2337737.0,0.0,0.0,
1985-02-20,RTX,1.4547203333347591,1.4547203333347591,1.4168807811994246,1.4210851192474365,4852170.0,0.0,0.0,
1988-11-29,RTX,1.4961939082276932,1.5388070342228415,1.4961939082276932,1.5198677778244019,1958919.0,0.0,0.0,
2011-05-17,LMT,57.505217640501066,57.89415641301867,56.78496187549409,57.30354690551758,2005500.0,0.0,0.0,
1977-10-14,BA,0.6260002312997446,0.6412684303786037,0.6260002312997446,0.6290537118911743,1228669.0,0.0,0.0,
1975-08-01,GD,0.0,0.3369169010469466,0.3207879066467285,0.3207879066467285,276000.0,0.0,0.0,
2002-09-17,LHX,11.028947435972306,11.095890658503885,10.811380780229058,10.828116416931152,806097.0,0.0,0.0,
1968-04-01,GE,0.17451939271787795,0.17899423467829076,0.17451939271787795,0.17849703133106232,4313088.0,0.0,0.0,
2009-09-30,GE,11.898294341957547,11.919503855242326,11.530670257685838,11.608437538146973,125594144.0,0.0,0.0,
1996-08-12,LHX,7.761813136007618,7.777916896074878,7.697400176327734,7.7457098960876465,376376.0,0.0,0.0,
2001-01-23,SPX,1.249169945716858,1.249169945716858,1.249169945716858,1.249169945716858,400.0,0.0,0.0,
2012-07-23,RTX,37.414853247313005,37.414853247313005,36.54745322328485,37.17137145996094,4599202.0,0.0,0.0,
2000-11-07,BA,42.987816537215174,42.987816537215174,42.4173620997545,42.49885559082031,3030800.0,0.0,0.0,
2019-05-02,GE,10.061599018348938,10.309421663582835,9.992208980201323,10.160728454589844,79225800.0,0.0,0.0,
2004-08-20,LMT,33.483030268588564,33.64409704972061,33.359133289980456,33.613121032714844,982700.0,0.0,0.0,
2005-01-03,GE,21.64773939440402,21.753884491571547,21.488522918398797,21.576976776123047,23118264.0,0.0,0.0,
