date,CashDividendsPaid,CommonStockDividendPaid,RepurchaseOfCapitalStock,AccountsPayable,CostOfRevenue,BasicEPS,MarketCap,PeRatio,PegRatio,FreeCashFlow,TotalRevenue,NetIncome,TotalAssets,StockholdersEquity
2003-03-31,-54000000.0,,-279000000.0,1086000000.0,6587000000.0,0.56,21402161231.0,38.659,,466000000.0,7059000000.0,250000000.0,25015000000.0,5839000000.0
1997-07-31,,,,,,,19908479700.0,22.475,,,,,,
2016-11-30,,,,,,,272114956400.0,35.356,1.332,,,,,
2008-02-29,,,,,,,69206838833.0,16.513,,,,,,
2017-04-28,,,,,,,111559874751.0,,,,,,,
2013-07-31,,,,,,,29857721380.0,,3.835,,,,,
1995-03-31,-62000000.0,,-17000000.0,1823000000.0,3976000000.0,0.016,8528597872.0,15.587,,-52000000.0,5318000000.0,135000000.0,15695000000.0,4161000000.0
1991-09-30,-86000000.0,,,5656000000.0,6931000000.0,0.59,17414608750.0,11.748,,-113000000.0,7657000000.0,401000000.0,16118000000.0,7942000000.0
2009-04-30,,,,,,,30539139128.0,10.081,0.822,,,,,
2015-01-30,,,,,,,5631780000.0,,,,,,,
1989-04-28,,,,,,,694177880.0,,,,,,,
2018-06-29,,,,,,,195461742251.0,,,,,,,
2019-09-30,-35000000.0,-35000000.0,-66000000.0,616000000.0,1802000000.0,3.74,8683390000.0,13.138,,248000000.0,2219000000.0,154000000.0,7184000000.0,1705000000.0
2020-08-27,,,,,,,43739980543.0,,,,,,,
2002-09-30,-60000000.0,,-71000000.0,1041000000.0,2688000000.0,0.665,16341920660.0,16.43,,208000000.0,3289000000.0,268000000.0,12090000000.0,5121000000.0
1994-05-31,,,,,,,1393926300.0,11.178,,,,,,
1987-02-27,,,,,,,2407516524.0,,,,,,,
2016-07-29,,,,,,,10796611914.0,,,,,,,
2020-05-29,,,,,,,57468394440.0,,,,,,,
2006-11-30,,,,,,,64765590641.0,18.126,,,,,,
1992-09-30,-17000000.0,,,2369000000.0,1545000000.0,0.475,2069884705.0,10.904,,170000000.0,857000000.0,120000000.0,5029000000.0,1655000000.0
2017-06-30,-27000000.0,-27000000.0,-139000000.0,325000000.0,1489000000.0,3.22,8470280000.0,15.736,,107000000.0,1858000000.0,147000000.0,6190000000.0,1650000000.0
1994-10-31,,,,,,,1262904100.0,10.946,,,,,,
2014-12-31,-510000000.0,-510000000.0,-405000000.0,6967000000.0,12360000000.0,1.64,104578125000.0,16.987,1.942,1620000000.0,16996000000.0,1473000000.0,91289000000.0,31213000000.0
1995-12-29,,,,,,,1653800400.0,,,,,,,
2011-08-31,,,,,,,172891496470.0,12.643,1.142,,,,,
2000-09-30,-3400000.0,,-51600000.0,115500000.0,335600000.0,-0.255,,,,-46200000.0,460400000.0,-34800000.0,2149900000.0,1227400000.0
1993-12-31,-537000000.0,,-148000000.0,11956000000.0,11891000000.0,,89803518690.0,20.325,,3141000000.0,17892000000.0,1477000000.0,251506000000.0,25824000000.0
2005-07-29,,,,,,,51955262084.0,,,,,,,
2014-09-30,-207000000.0,-207000000.0,-426000000.0,2390000000.0,6274000000.0,2.1,42116322183.0,17.651,3.07,2329000000.0,7751000000.0,696000000.0,35311000000.0,13010000000.0
2007-09-30,-2883000000.0,,,18716000000.0,18258000000.0,0.54,,,,6992000000.0,42534000000.0,5539000000.0,761706000000.0,112831000000.0
2013-07-31,,,,,,,38550903190.0,13.466,2.253,,,,,
2006-05-31,,,,,,,5467351669.0,26.442,,,,,,
2011-02-28,,,,,,,76956566809.0,17.624,1.179,,,,,
2020-11-05,,,,,,,38038683178.0,,,,,,,
2012-09-30,-463000000.0,-463000000.0,0.0,6156000000.0,11003000000.0,1.58,,,,1177000000.0,15042000000.0,1415000000.0,91946000000.0,24955000000.0
1996-11-29,,,,,,,17464137161.0,,,,,,,
2011-03-31,-1429000000.0,-1429000000.0,,252000000.0,1450000000.0,0.92,2023782401.0,14.991,,-427000000.0,1684000000.0,45000000.0,5805000000.0,1362000000.0
2016-12-30,,,,,,,52578345503.0,,,,,,,
2007-09-30,-274000000.0,,-871000000.0,28762000000.0,13134000000.0,1.47,,,,2912000000.0,16517000000.0,1114000000.0,54787000000.0,6406000000.0
2008-09-30,-170000000.0,,-408000000.0,2030000000.0,9455000000.0,1.97,43467883700.0,14.224,,804000000.0,10577000000.0,782000000.0,29357000000.0,9808000000.0
2017-01-31,,,,,,,8960952000.0,21.527,,,,,,
2009-06-30,-147000000.0,,0.0,2427000000.0,7155000000.0,1.6,21326161809.0,8.723,,517000000.0,8100000000.0,618000000.0,28858000000.0,11001000000.0
1996-06-30,-765000000.0,,-823000000.0,8453000000.0,7072000000.0,0.19,,,,1579000000.0,18901000000.0,1908000000.0,242081000000.0,29296000000.0
1994-01-31,,,,,,,14710968500.0,13.186,,,,,,
